Dataset,Target_Modules,Rank,Accuracy,Std
Breast,Q,4,81.7,3.6
Breast,Q,8,81.7,3.8
Breast,Q,16,81.7,0.7
Breast,Q,32,82.9,1.4
Breast,K,4,81.2,3.3
Breast,K,8,82.1,3.1
Breast,K,16,82.1,1.9
Breast,K,32,83.8,1.2
Breast,V,4,82.9,2.6
Breast,V,8,85.0,1.2
Breast,V,16,83.3,2.6
Breast,V,32,85.8,1.9
Breast,P,4,82.5,2.2
Breast,P,8,82.9,1.9
Breast,P,16,83.3,2.6
Breast,P,32,86.7,1.9
Breast,F1,4,83.3,0.7
Breast,F1,8,84.6,2.6
Breast,F1,16,87.1,0.7
Breast,F1,32,87.9,0.7
Breast,"Q,K",4,81.7,2.6
Breast,"Q,K",8,81.2,2.5
Breast,"Q,K",16,83.3,1.9
Breast,"Q,K",32,85.4,1.4
Breast,"Q,V",4,82.9,2.6
Breast,"Q,V",8,83.3,2.6
Breast,"Q,V",16,85.8,0.7
Breast,"Q,V",32,86.7,1.4
Breast,"F1,F2",4,84.6,2.6
Breast,"F1,F2",8,86.7,1.9
Breast,"F1,F2",16,85.8,1.4
Breast,"F1,F2",32,86.2,1.2
Breast,"Q,K,V",4,83.3,2.6
Breast,"Q,K,V",8,84.2,2.6
Breast,"Q,K,V",16,85.8,0.7
Breast,"Q,K,V",32,87.5,2.2
Breast,"P,F1,F2",4,84.6,2.9
Breast,"P,F1,F2",8,85.8,3.1
Breast,"P,F1,F2",16,86.7,0.7
Breast,"P,F1,F2",32,87.1,1.4
Breast,"Q,K,V,P",4,83.3,2.6
Breast,"Q,K,V,P",8,85.8,1.9
Breast,"Q,K,V,P",16,87.5,1.2
Breast,"Q,K,V,P",32,87.5,1.2
Breast,"Q,K,V,P,F1,F2",4,85.4,0.7
Breast,"Q,K,V,P,F1,F2",8,85.0,0.0
Breast,"Q,K,V,P,F1,F2",16,86.2,2.2
Breast,"Q,K,V,P,F1,F2",32,87.1,0.7
CUB-200,Q,4,88.3,0.8
CUB-200,Q,8,88.8,0.8
CUB-200,Q,16,89.2,0.8
CUB-200,Q,32,89.2,0.4
CUB-200,K,4,88.1,0.8
CUB-200,K,8,88.9,0.5
CUB-200,K,16,89.0,0.4
CUB-200,K,32,89.3,0.5
CUB-200,V,4,88.3,0.8
CUB-200,V,8,89.1,0.5
CUB-200,V,16,88.9,0.8
CUB-200,V,32,89.2,0.3
CUB-200,P,4,89.1,0.9
CUB-200,P,8,88.9,0.7
CUB-200,P,16,89.3,0.6
CUB-200,P,32,89.7,0.4
CUB-200,F1,4,89.3,0.4
CUB-200,F1,8,89.5,0.4
CUB-200,F1,16,89.7,0.2
CUB-200,F1,32,89.6,0.7
CUB-200,"Q,K",4,88.8,0.6
CUB-200,"Q,K",8,89.0,0.6
CUB-200,"Q,K",16,89.2,0.5
CUB-200,"Q,K",32,89.2,0.4
CUB-200,"Q,V",4,89.0,0.5
CUB-200,"Q,V",8,89.0,0.8
CUB-200,"Q,V",16,89.6,0.3
CUB-200,"Q,V",32,89.3,0.4
CUB-200,"F1,F2",4,89.4,0.6
CUB-200,"F1,F2",8,89.3,0.2
CUB-200,"F1,F2",16,89.8,0.2
CUB-200,"F1,F2",32,89.3,0.4
CUB-200,"Q,K,V",4,89.3,0.5
CUB-200,"Q,K,V",8,89.4,0.8
CUB-200,"Q,K,V",16,89.4,1.0
CUB-200,"Q,K,V",32,89.4,0.4
CUB-200,"P,F1,F2",4,89.6,0.2
CUB-200,"P,F1,F2",8,89.3,0.4
CUB-200,"P,F1,F2",16,89.4,0.7
CUB-200,"P,F1,F2",32,89.6,0.1
CUB-200,"Q,K,V,P",4,89.4,0.6
CUB-200,"Q,K,V,P",8,89.8,0.6
CUB-200,"Q,K,V,P",16,89.5,0.5
CUB-200,"Q,K,V,P",32,89.3,0.8
CUB-200,"Q,K,V,P,F1,F2",4,89.6,0.6
CUB-200,"Q,K,V,P,F1,F2",8,89.3,0.7
CUB-200,"Q,K,V,P,F1,F2",16,89.5,0.1
